key,en-US,ja-JP,ko-KR,zh-CN,es-ES,de-DE,fr-FR,id-ID,hi-IN
log_script_change_detected,"Script or DLL change detected, starting dependency check.",スクリプトまたは DLL の変更を検出したため、依存関係のチェックを開始します。,스크립트 또는 DLL 변경이 감지되어 의존성 검사를 시작합니다.,检测到脚本或 DLL 发生变化，开始执行依赖项检查。,Se detectó un cambio en un script o DLL; iniciando la comprobación de dependencias.,"Script- oder DLL-Änderung erkannt, Abhängigkeitsprüfung wird gestartet.","Modification de script ou de DLL détectée, lancement de la vérification des dépendances.","Perubahan skrip atau DLL terdeteksi, memulai pemeriksaan dependensi.","Script या DLL परिवर्तन का पता चला, dependency जाँच शुरू हो रही है।"
log_package_change_detected,"Package Manager change detected, starting dependency check.",Package Manager の変更を検出したため、依存関係のチェックを開始します。,Package Manager 변경이 감지되어 의존성 검사를 시작합니다.,检测到 Package Manager 发生变化，开始执行依赖项检查。,Se detectó un cambio en Package Manager; iniciando la comprobación de dependencias.,"Package-Manager-Änderung erkannt, Abhängigkeitsprüfung wird gestartet.","Modification du Package Manager détectée, lancement de la vérification des dépendances.","Perubahan Package Manager terdeteksi, memulai pemeriksaan dependensi.","Package Manager परिवर्तन का पता चला, dependency जाँच शुरू हो रही है।"
log_manual_check_started,Manual check initiated for '{0}'.,「{0}」の手動チェックを開始しました。,'{0}'에 대한 수동 검사를 시작했습니다.,已对“{0}”启动手动检查。,Se inició una comprobación manual para '{0}'.,Manuelle Überprüfung für „{0}“ gestartet.,Contrôle manuel démarré pour « {0} ».,Pemeriksaan manual dimulai untuk '{0}'.,'{0}' के लिए मैन्युअल जाँच शुरू हुई।
log_no_status_change,No status change for '{0}'. Defines were not updated.,「{0}」に状態の変化はありません。定義は更新されませんでした。,'{0}'의 상태 변화가 없습니다. 정의는 업데이트되지 않았습니다.,“{0}”没有状态变化。未更新任何定义。,No hubo cambios de estado para '{0}'. No se actualizaron las definiciones.,Kein Statuswechsel für „{0}“. Defines wurden nicht aktualisiert.,Aucun changement d'état pour « {0} ». Les définitions n'ont pas été mises à jour.,Tidak ada perubahan status untuk '{0}'. Definisi tidak diperbarui.,'{0}' के लिए कोई स्थिति परिवर्तन नहीं। परिभाषाएं अपडेट नहीं हुईं।
log_dependency_items_found,Found {0} dependency items to check.,{0} 件の依存項目が見つかりました。,검사할 의존 항목 {0}개를 찾았습니다.,找到 {0} 个需要检查的依赖项。,Se encontraron {0} elementos de dependencia para revisar.,{0} Abhängigkeitseinträge zum Prüfen gefunden.,{0} éléments de dépendance à vérifier ont été trouvés.,Ditemukan {0} item dependensi untuk diperiksa.,जाँच के लिए {0} dependency items मिले।
log_changes_detected,"Changes detected, applying new scripting define symbols.",変更を検出。新しいスクリプト定義シンボルを適用します。,변경 사항을 감지했습니다. 새 스크립팅 정의 심볼을 적용합니다.,检测到更改，正在应用新的脚本定义符号。,Se detectaron cambios; aplicando los nuevos símbolos de definición.,"Änderungen erkannt, neue Scripting-Define-Symbole werden angewendet.","Des changements ont été détectés, application des nouveaux symboles de définition.","Perubahan terdeteksi, menerapkan simbol define skrip baru.","परिवर्तन मिले, नए script define symbols लागू हो रहे हैं।"
log_dependencies_up_to_date,All dependencies are up-to-date. No changes made.,すべての依存関係は最新です。変更はありません。,모든 의존성이 최신입니다. 변경 사항이 없습니다.,所有依赖项均为最新。未进行任何更改。,Todas las dependencias están actualizadas. No se realizaron cambios.,Alle Abhängigkeiten sind aktuell. Es wurden keine Änderungen vorgenommen.,Toutes les dépendances sont à jour. Aucun changement effectué.,Semua dependensi sudah terbaru. Tidak ada perubahan yang dilakukan.,सभी dependencies अद्यतित हैं। कोई बदलाव नहीं किया गया।
log_processing_check_type,Processing '{0}': checking for type '{1}'.,「{0}」を処理中: 型「{1}」を確認しています。,'{0}' 처리 중: 타입 '{1}'을(를) 확인합니다.,正在处理“{0}”：检查类型“{1}”。,Procesando '{0}': comprobando el tipo '{1}'.,Verarbeite „{0}“: Prüfe auf Typ „{1}“.,Traitement de « {0} » : vérification du type « {1} ».,Memproses '{0}': memeriksa tipe '{1}'.,'{0}' प्रोसेस हो रहा है: '{1}' प्रकार जाँचा जा रहा है।
log_processing_type_found,Processing '{0}': type '{1}' was found in assembly '{2}'.,「{0}」を処理中: 型「{1}」がアセンブリ「{2}」で見つかりました。,'{0}' 처리 중: 타입 '{1}'이(가) 어셈블리 '{2}'에서 발견되었습니다.,正在处理“{0}”：在程序集“{2}”中找到了类型“{1}”。,Procesando '{0}': el tipo '{1}' se encontró en el ensamblado '{2}'.,Verarbeite „{0}“: Typ „{1}“ wurde in Assembly „{2}“ gefunden.,Traitement de « {0} » : le type « {1} » a été trouvé dans l'assembly « {2} ».,Memproses '{0}': tipe '{1}' ditemukan di assembly '{2}'.,'{0}' प्रोसेस हो रहा है: '{1}' प्रकार assembly '{2}' में मिला。
log_processing_type_not_found,Processing '{0}': type '{1}' not found.,「{0}」を処理中: 型「{1}」が見つかりません。,'{0}' 처리 중: 타입 '{1}'을(를) 찾을 수 없습니다.,正在处理“{0}”：未找到类型“{1}”。,Procesando '{0}': no se encontró el tipo '{1}'.,Verarbeite „{0}“: Typ „{1}“ wurde nicht gefunden.,Traitement de « {0} » : type « {1} » introuvable.,Memproses '{0}': tipe '{1}' tidak ditemukan.,'{0}' प्रोसेस हो रहा है: '{1}' प्रकार नहीं मिला।
